firm_id,name,website_root,missing_fields,payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier
novaproptraderscom,Nova Prop Traders,https://novaproptraders.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
fundedtradingpluscom,Funded Trading Plus,https://fundedtradingplus.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
primepropcapitalcom,Prime Prop Capital,https://primepropcapital.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
the5erscom,The5ers,https://the5ers.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
mavensecuritiescom,Maven Securities,https://mavensecurities.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
citytradersimperiumcom,City Traders Imperium,https://citytradersimperium.com,"max_drawdown_rule,daily_drawdown_rule",on-demand,,,Tier 2
fundedacademycom,Funded Academy,https://fundedacademy.com,max_drawdown_rule,daily,,5,Tier 2
blueguardiancom,Blue Guardian,https://blueguardian.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
fundedelitecom,Funded Elite,https://fundedelite.com,"max_drawdown_rule,daily_drawdown_rule",on-demand,,,Tier 2
alphacapitalgroupuk,Alpha Capital Group,https://alphacapitalgroup.uk,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
brightfundedcom,BrightFunded,https://brightfunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
apextraderfundingcom,Apex Trader Funding,https://apextraderfunding.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedfuturesnetworkcom,Funded Futures Network,https://fundedfuturesnetwork.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fidelcrestcom,Fidelcrest,https://fidelcrest.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
surgetradercom,SurgeTrader,https://surgetrader.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thefundedtradercomau,The Funded Trader Australia,https://thefundedtrader.com.au,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
luxtradingfirmcom,Lux Trading Firm,https://luxtradingfirm.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
theproptradingcom,The Prop Trading,https://theproptrading.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
alphathefundedcom,Alpha The Funded,https://alphathefunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
financelabfundingcom,Financelab Funding,https://financelabfunding.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradersocietycom,The Funded Trader Society,https://fundedtradersociety.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
luxalgofundedcom,LuxAlgo Funded,https://luxalgofunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
propfirmhubcom,Prop Firm Hub,https://propfirmhub.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propfirmmatchcom,Prop Firm Match,https://propfirmmatch.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradingglobalcom,Funded Trading Global,https://fundedtradingglobal.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tradingfloorfundedcom,The Trading Floor Funded,https://tradingfloorfunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
nextstepfundedcom,Next Step Funded,https://nextstepfunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 1
fundedempirecom,Funded Empire,https://fundedempire.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propfirmedgecom,Prop Firm Edge,https://propfirmedge.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedfuturesprocom,Funded Futures Pro,https://fundedfuturespro.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propdeskcapitalcom,PropDesk Capital,https://propdeskcapital.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantproptradingcom,QuantProp Trading,https://quantproptrading.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
atlasfundedtraderscom,Atlas Funded Traders,https://atlasfundedtraders.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
vertexfundedcom,Vertex Funded,https://vertexfunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
summitpropfundingcom,Summit Prop Funding,https://summitpropfunding.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pinnaclefundedtraderscom,Pinnacle Funded Traders,https://pinnaclefundedtraders.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
horizonpropfirmcom,Horizon Prop Firm,https://horizonpropfirm.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
zenithtradingfundedcom,Zenith Trading Funded,https://zenithtradingfunded.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
everestproptraderscom,Everest Prop Traders,https://everestproptraders.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
globefundedmarketscom,Globe Funded Markets,https://globefundedmarkets.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
astrafundedcapitalcom,Astra Funded Capital,https://astrafundedcapital.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
