firm_id,name,website_root,missing_fields,payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier
proptrustedcom,Proptrusted Com,https://proptrusted.com,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",daily,,,
traderseedio,Traderseed Io,https://traderseed.io,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",weekly,,,
trader2bcom,Trader2B Com,https://trader2b.com,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",daily,,,
thefundedtraderprogramcom,Thefundedtraderprogram Com,https://thefundedtraderprogram.com,"max_drawdown_rule,jurisdiction_tier",daily,,3,
blueguardiancom,Blueguardian Com,https://blueguardian.com,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",daily,,,
fundedtradingglobalcom,Fundedtradingglobal Com,https://fundedtradingglobal.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedempirecom,Fundedempire Com,https://fundedempire.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedxcom,Fundedx Com,https://fundedx.com,jurisdiction_tier,on_demand,5,3,
fundedtraderlabcom,Fundedtraderlab Com,https://fundedtraderlab.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundednationcom,Fundednation Com,https://fundednation.com,"max_drawdown_rule,jurisdiction_tier",daily,,3,
bestpropfirmscom,Bestpropfirms Com,https://bestpropfirms.com,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",on_demand,,,
fundedtradernetworkcom,Fundedtradernetwork Com,https://fundedtradernetwork.com,jurisdiction_tier,on_demand,5,5,
infinityforexfundscom,Infinityforexfunds Com,https://infinityforexfunds.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
traderscentralcom,Traderscentral Com,https://traderscentral.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedtraderelitecom,Fundedtraderelite Com,https://fundedtraderelite.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
mentfundingcom,Mentfunding Com,https://mentfunding.com,"max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",daily,,,
fundedtradercapitalcom,Fundedtradercapital Com,https://fundedtradercapital.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedtraderworldcom,Fundedtraderworld Com,https://fundedtraderworld.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedtraderprocom,Fundedtraderpro Com,https://fundedtraderpro.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
fundedfuturesnetworkcom,Fundedfuturesnetwork Com,https://fundedfuturesnetwork.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier",,,,
